name,link,origin,birth,origin_point,birth_point,spotify_id,genre
Jean Ritchie,/wiki/Jean_Ritchie,,"Viper, Kentucky","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-83.14823, 37.18287], ""type"": ""Point""}",7cWhIVoEYJd0oWnxULFt8s,folk
Josh Ritter,/wiki/Josh_Ritter,,"Moscow, Idaho","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-116.993113, 46.732566], ""type"": ""Point""}",6igfLpd8s6DBBAuwebRUuo,folk
The Roches,/wiki/The_Roches,"Park Ridge, New Jersey, U.S.",,"{""coordinates"": [-74.042763, 41.036337], ""type"": ""Point""}","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}",2BbwJ8VxAFpJiFr7EHvcCW,folk
Libby Roderick,/wiki/Libby_Roderick,"Anchorage, Territory of Alaska, US",,"{""coordinates"": [-149.358257, 61.195429], ""type"": ""Point""}","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}",1IVub12Ffx56KIVhTIGOGU,folk
The Rooftop Singers,/wiki/The_Rooftop_Singers,United States,,"{""coordinates"": [-96.999246, 39.71614], ""type"": ""Point""}","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}",6Gb08eT3LlkGynDscl9vbz,folk
Jack Rose,/wiki/Jack_Rose_(guitarist),,"Fredericksburg, Virginia","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-77.482857, 38.296804], ""type"": ""Point""}",0K6DXvfMXmF7L4h0P7Ivva,folk
Josh Rouse,/wiki/Josh_Rouse,"Tennessee, United States","Oshkosh, Nebraska","{""coordinates"": [-86.343764, 35.820245], ""type"": ""Point""}","{""coordinates"": [-102.52657, 41.308812], ""type"": ""Point""}",38euc5ce2q2MMzaoJcPstz,folk
Tom Rush,/wiki/Tom_Rush,,"Portsmouth, New Hampshire","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-70.783285, 43.058708], ""type"": ""Point""}",6vI5AwXkw8IFD7zsw6NkTp,folk
The Sandpipers,/wiki/The_Sandpipers,"California, U.S.",,"{""coordinates"": [-119.586168, 36.531544], ""type"": ""Point""}","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}",3iBuBivHItWMpdiVmLT0uB,folk
Claudia Schmidt,/wiki/Claudia_Schmidt_(musician),,"New Baltimore, Michigan","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-82.737854, 42.685583], ""type"": ""Point""}",2Xwy23kFCVIEorTNk7vmhB,folk
Eric Schwartz,/wiki/Eric_Schwartz_(songwriter),"Newton, Massachusetts, U.S.",,"{""coordinates"": [-71.204562, 42.335091], ""type"": ""Point""}","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}",2wmjSzz9TcqPgSNMGAVksR,folk
Mike Seeger,/wiki/Mike_Seeger,"New York City, New York, U.S.",New York City,"{""coordinates"": [-73.9708, 40.68295], ""type"": ""Point""}","{""coordinates"": [-73.9708, 40.68295], ""type"": ""Point""}",7kJfeECt6CmcCBM8uX1td8,folk
Peggy Seeger,/wiki/Peggy_Seeger,,New York City,"{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-73.9708, 40.68295], ""type"": ""Point""}",0gXQn7UrpopDb2TIkmIjoU,folk
Martin Sexton,/wiki/Martin_Sexton,,"Syracuse, New York","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-76.148211, 43.043536], ""type"": ""Point""}",16HLVuiCN8iGYhBca7lsqE,folk
The Shells,/wiki/The_Shells_(band),"Brooklyn, New York, United States",,"{""coordinates"": [-73.956582, 40.652256], ""type"": ""Point""}","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}",7ywuUxIhs0wsrflxhUhvNb,folk
Richard Shindell,/wiki/Richard_Shindell,,"Lakehurst, New Jersey","{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-74.321473, 40.013336], ""type"": ""Point""}",0ONG1ffKzhVIm4arvvLPHl,folk
Michelle Shocked,/wiki/Michelle_Shocked,"Dallas, Texas[2]",[1],"{""coordinates"": [-99.076239, 19.505506], ""type"": ""Point""}","{""coordinates"": [87.18018, 27.23006], ""type"": ""Point""}",7vma2XD1xEuvoLbR43MZ9p,folk
Paul Siebel,/wiki/Paul_Siebel,,Buffalo,"{""coordinates"": [100.77522, 18.776703], ""type"": ""Point""}","{""coordinates"": [-78.852918, 42.890831], ""type"": ""Point""}",5EB5q368CZpEhSbLIVIAXh,folk
