name,link,origin,birth
Dead by Sunrise,/wiki/Dead_by_Sunrise,"Los Angeles, California, U.S.",
Dead Letter Circus,/wiki/Dead_Letter_Circus,"Brisbane, Queensland, Australia",
The Dead Milkmen,/wiki/The_Dead_Milkmen,"Philadelphia, Pennsylvania, U.S.",
Dead Poetic,/wiki/Dead_Poetic,"Dayton, Ohio, U.S.",
Dead Sara,/wiki/Dead_Sara,"Los Angeles, California, U.S.",
The Dead Weather,/wiki/The_Dead_Weather,"Nashville, Tennessee, U.S.",
The Deadly Syndrome,/wiki/The_Deadly_Syndrome,"Los Angeles, California",
Deaf Havana,/wiki/Deaf_Havana,"Hunstanton and King's Lynn, Norfolk, England",
The Dear Hunter,/wiki/The_Dear_Hunter,"Providence, Rhode Island, U.S.",
Deas Vail,/wiki/Deas_Vail,"Russellville, Arkansas",
Death Cab for Cutie,/wiki/Death_Cab_for_Cutie,"Bellingham, Washington, U.S.",
The Decemberists,/wiki/The_Decemberists,"Portland, Oregon, U.S.",
Deep Blue Something,/wiki/Deep_Blue_Something,"Denton, Texas, U.S.",
Deerhunter,/wiki/Deerhunter,"Atlanta, Georgia, United States",
Default,/wiki/Default_(band),"Vancouver, British Columbia, Canada",
Deftones,/wiki/Deftones,"Sacramento, California, U.S.",
The Del Fuegos,/wiki/The_Del_Fuegos,"Boston, Massachusetts, United States",
The Delgados,/wiki/The_Delgados,"Glasgow, Scotland",
Demon Hunter,/wiki/Demon_Hunter_(band),"Seattle, Washington, U.S.",
Depeche Mode,/wiki/Depeche_Mode,"Basildon, Essex, England",
Deryck Whibley,/wiki/Deryck_Whibley,,"Scarborough, Ontario, [1]"
Di-rect,/wiki/Di-rect,"The Hague, Netherlands",
Die Kreuzen,/wiki/Die_Kreuzen,"Rockford, Illinois, U.S.",
DIIV,/wiki/DIIV,"New York City, New York, U.S.",
Dinosaur Jr.,/wiki/Dinosaur_Jr.,"Amherst, Massachusetts, U.S.",
The Dirty Heads,/wiki/The_Dirty_Heads,"Huntington Beach, California, U.S.",
Dirty Projectors,/wiki/Dirty_Projectors,"Brooklyn, New York, U.S.",
Dishwalla,/wiki/Dishwalla,"Santa Barbara, California, U.S.",
Dispatch,/wiki/Dispatch_(band),"Middlebury, Vermont, U.S.",
The Dodos,/wiki/The_Dodos,"San Francisco, California, United States",
The Donnas,/wiki/The_Donnas,"Palo Alto, California, U.S.",
doubleDrive,/wiki/DoubleDrive,"Atlanta, Georgia, U.S.",
Dr. Dog,/wiki/Dr._Dog,"Philadelphia, Pennsylvania, United States",
The Dream Academy,/wiki/The_Dream_Academy,"London, England",
Dredg,/wiki/Dredg,"Los Gatos, California, U.S.",
The Drums,/wiki/The_Drums,"Brooklyn, New York, United States",
Dum Dum Girls,/wiki/Dum_Dum_Girls,"Los Angeles, California",
Duran Duran,/wiki/Duran_Duran,"Birmingham, England",
Dutch Uncles,/wiki/Dutch_Uncles,"Marple, Stockport, England",
Eagle-Eye Cherry,/wiki/Eagle-Eye_Cherry,"Stockholm, Sweden",[1]
The Early November,/wiki/The_Early_November,"Hammonton, New Jersey, U.S.",
Eddie Vedder,/wiki/Eddie_Vedder,,"Evanston, Illinois"
Editors,/wiki/Editors_(band),"Moseley, Birmingham, England",
Edwyn Collins,/wiki/Edwyn_Collins,,Edinburgh
Eels,/wiki/Eels_(band),"Los Feliz, Los Angeles, California, U.S.",
Eisley,/wiki/Eisley,"Tyler, Texas, U.S.",
Elastica,/wiki/Elastica,"London, England",
Elbow,/wiki/Elbow_(band),"Bury, Greater Manchester, England",
Eleanor Friedberger,/wiki/Eleanor_Friedberger,"Oak Park, Illinois",
Electrasy,/wiki/Electrasy,"Dorset, England",
Electronic,/wiki/Electronic_(band),"Manchester and Salford, England",
Eleventh Dream Day,/wiki/Eleventh_Dream_Day,"Chicago, Illinois, U.S.",
The Elms,/wiki/The_Elms_(band),"Indiana, U.S.",
Emery,/wiki/Emery_(band),"Rock Hill, South Carolina, U.S.",
Emiliana Torrini,/wiki/Emiliana_Torrini,"Kópavogur, Iceland",
Emily Haines & the Soft Skeleton,/wiki/Emily_Haines,"Toronto, Ontario, Canada",
Enter Shikari,/wiki/Enter_Shikari,"St Albans, England",
Envy on the Coast,/wiki/Envy_on_the_Coast,"Long Island, New York",
Eraserheads,/wiki/Eraserheads,"Quezon City, Philippines",
Evanescence,/wiki/Evanescence,"Little Rock, Arkansas, U.S.",
Evans Blue,/wiki/Evans_Blue,"Toronto, Ontario, Canada",
Eve 6,/wiki/Eve_6,"La Crescenta-Montrose, California, U.S.",
Everclear,/wiki/Everclear_(band),"Portland, Oregon, U.S.",
Every Avenue,/wiki/Every_Avenue,"Marysville, Michigan",
Everything Everything,/wiki/Everything_Everything,"Manchester, United Kingdom",
The Exies,/wiki/The_Exies,"Los Angeles, California, U.S.",
The Exit,/wiki/The_Exit,"New York City, U.S.",
The Explosion,/wiki/The_Explosion,"Boston, Massachusetts, United States",
Explosions in the Sky,/wiki/Explosions_in_the_Sky,"Austin, Texas, United StatesMidland, Texas, United States",
Failure,/wiki/Failure_(band),"Los Angeles, California, U.S.",
Faith No More,/wiki/Faith_No_More,"San Francisco, California, U.S.",
The Fall,/wiki/The_Fall_(band),"Prestwich, Greater Manchester, England",
Fall Out Boy,/wiki/Fall_Out_Boy,"Wilmette, Illinois, U.S.",
Falling in Reverse,/wiki/Falling_in_Reverse,"Las Vegas, Nevada, U.S.",
Far-Less,/wiki/Far-Less,"Blacksburg/Marion/Pulaski, Virginia, US",
Fastball,/wiki/Fastball_(band),"Austin, Texas, United States",
Fatboy Slim,/wiki/Fatboy_Slim,,"Bromley, Kent"
Fatherson,/wiki/Fatherson,"Kilmarnock, East Ayrshire, Scotland",
The Fatima Mansions,/wiki/The_Fatima_Mansions,"Cork, Ireland",
Fearless Vampire Killers,/wiki/Fearless_Vampire_Killers_(band),"Beccles, England",
Feeder,/wiki/Feeder_(band),"Newport, Wales",
The Feelies,/wiki/The_Feelies,"Haledon, New Jersey, United States",
Feist,/wiki/Feist_(singer),"Calgary, Alberta, Canada","Amherst, Nova Scotia"
Fiction Plane,/wiki/Fiction_Plane,"London, England",
The Fiery Furnaces,/wiki/The_Fiery_Furnaces,"New York City, New York, U.S.",
Fightstar,/wiki/Fightstar,"London, England",
Filter,/wiki/Filter_(band),"Cleveland, Ohio, U.S.",
Fine Young Cannibals,/wiki/Fine_Young_Cannibals,"Birmingham, England",
Finch,/wiki/Finch_(American_band),"Temecula, California, U.S.",
Finger Eleven,/wiki/Finger_Eleven,"Burlington, Ontario, Canada",
Fishbone,/wiki/Fishbone,"Los Angeles, California, U.S.",
Fitz and the Tantrums,/wiki/Fitz_and_the_Tantrums,"Los Angeles, California, U.S.",
The Flaming Lips,/wiki/The_Flaming_Lips,"Oklahoma City, Oklahoma, U.S.",
Fleet Foxes,/wiki/Fleet_Foxes,"Seattle, Washington, U.S.",
Flight of the Conchords,/wiki/Flight_of_the_Conchords,"Wellington, New Zealand",
Flobots,/wiki/Flobots,"Denver, Colorado, US",
Flor,/wiki/Flor_(band),"Hood River, Oregon, United States[1]",
Florence and the Machine,/wiki/Florence_and_the_Machine,"London, England",
Flow,/wiki/Flow_(Japanese_band),Japan,
Flyleaf,/wiki/Flyleaf_(band),"Belton, Texas, U.S.",
Foals,/wiki/Foals_(band),"Oxford, England",
Folk Implosion,/wiki/Folk_Implosion,"Boston, Massachusetts",
Foo Fighters,/wiki/Foo_Fighters,"Seattle, Washington, U.S.",
Fool's Garden,/wiki/Fool%27s_Garden,"Pforzheim, Germany",
For Against,/wiki/For_Against,"Lincoln, Nebraska, United States",
Forever The Sickest Kids,/wiki/Forever_The_Sickest_Kids,"Dallas, Texas, United States",
The Format,/wiki/The_Format,"Peoria, Arizona, U.S.",
