,name,link,origin,birth,origin_point,birth_point,spotify_id,genre
77,Vic Chesnutt,/wiki/Vic_Chesnutt,"Athens, Georgia, U.S.","Jacksonville, Florida",POINT (-83.358855 33.95759),POINT (-81.660992 30.369914),7EFfGZiKL1Ud3cspnlMq4H,folk
78,Meg Christian,/wiki/Meg_Christian,,"Lynchburg, Virginia",POINT (100.77522 18.776703),POINT (-79.14225 37.41375),2rf5kr52MmpgrluGfCSAsS,folk
79,The Civil Wars,/wiki/The_Civil_Wars,"Nashville, Tennessee, U.S.",,POINT (-86.834683 36.236907),POINT (100.77522 18.776703),6J7rw7NELJUCThPbAfyLIE,folk
80,Paul Clayton,/wiki/Paul_Clayton_(folksinger),,"New Bedford, Massachusetts",POINT (100.77522 18.776703),POINT (-70.9457 41.667736),0OP3vGdafC4R9cXSoyRm9B,folk
81,Shana Cleveland,/wiki/Shana_Cleveland,,"Kalamazoo, Michigan",POINT (100.77522 18.776703),POINT (-85.587168 42.274924),5E6dR5oDjhT39zr1YuXRq0,folk
82,Judy Collins,/wiki/Judy_Collins,"Denver, Colorado, U.S.","Seattle, Washington",POINT (-104.985798 39.740959),POINT (-122.331537 47.673455),5yzE49FicYiSxN61oaxkNn,folk
83,Shawn Colvin,/wiki/Shawn_Colvin,"Carbondale, Illinois, U.S.","Vermillion, South Dakota",POINT (-89.222269 37.721252),POINT (-96.924403 42.783249),0K7VN4aHxHcEb7PqkfoIVA,folk
84,Annette Conlon,/wiki/Annette_Conlon,"Colorado Springs, Colorado, U.S.",Ohio,POINT (-104.813228 38.875356),POINT (-82.883453 40.262259),31ROIrco1CXetL8ZbkYatx,folk
85,Matt Costa,/wiki/Matt_Costa,,"Huntington Beach, California",POINT (100.77522 18.776703),POINT (-117.999037 33.678349),0EghvcisxKybq4CVO7rB5t,folk
86,Elizabeth Cotten,/wiki/Elizabeth_Cotten,,"Carrboro, North Carolina",POINT (100.77522 18.776703),POINT (-79.087302 35.921241),1eTZGzLkukATM7FoGltyFs,folk
87,Jim Croce,/wiki/Jim_Croce,,Philadelphia,POINT (100.77522 18.776703),POINT (-75.168428 39.990821),1R6Hx1tJ2VOUyodEpC12xM,folk
88,Sis Cunningham,/wiki/Sis_Cunningham,"Watonga, Oklahoma, U.S.",,POINT (-98.416206 35.849614),POINT (100.77522 18.776703),65Q1w5t5usDLaJN4o3NxPU,folk
89,Catie Curtis,/wiki/Catie_Curtis,"Boston, Massachusetts, U.S.",,POINT (-71.048611 42.355492),POINT (100.77522 18.776703),4WB32sqN839h5BEYYXTeNE,folk
90,Barbara Dane,/wiki/Barbara_Dane,,Detroit,POINT (100.77522 18.776703),POINT (-83.164558 42.398648),7htyUKqAPLpbTA9nkEhGRf,folk
91,Erik Darling,/wiki/Erik_Darling,,"Baltimore, Maryland",POINT (100.77522 18.776703),POINT (-76.649533 39.319732),10d2A1Q9bdMCwYnh1yp4rI,folk
92,Grey DeLisle,/wiki/Grey_DeLisle,,"Fort Ord, California",POINT (100.77522 18.776703),POINT (-118.893161 34.214603),2crxUkgEZN8zedQMY49EOt,folk
93,Kris Delmhorst,/wiki/Kris_Delmhorst,United States,Brooklyn,POINT (-96.999246 39.71614),POINT (-73.956582 40.652256),05dHTLCAf68OSX0me9Tmfx,folk
94,Iris DeMent,/wiki/Iris_DeMent,,"Paragould, Arkansas",POINT (100.77522 18.776703),POINT (-90.520097 36.052242),3NPZs8XgXtaWslUcnIw6rY,folk
