,name,link,origin,birth,origin_point,birth_point,spotify_id,genre
15,Uncle Dave Macon,/wiki/Uncle_Dave_Macon,"Nashville, Tennessee",Tennessee,b'\x01\x01\x00\x00\x00\xbd\xe1>rk\xb5U\xc0\xc4\x98\xf4\xf7R\x1eB@',b'\x01\x01\x00\x00\x00\xb2b\xb8:\x00\x96U\xc0\x90\xda\xc4\xc9\xfd\xe8A@',5Aa1aFuL2vUePqwhMFnxO0,folk
16,Charlie Poole,/wiki/Charlie_Poole,,"Franklinville, North Carolina",b'\x01\x01\x00\x00\x00!\xcdX4\x9d1Y@\x81\xb4\xff\x01\xd6\xc62@',b'\x01\x01\x00\x00\x00\xb5\x15\xfb\xcb\xee\x1fT\xc0\xb8\x1e\x85\xebQ\xdcA@',7FS3EGuBVCs09Mfs23t2Af,folk
17,Rising Appalachia,/wiki/Rising_Appalachia,"Atlanta, Georgia",,"b'\x01\x01\x00\x00\x00\xc0""\xbf~\x88\x1aU\xc0\r\xa6a\xf8\x88\xe2@@'",b'\x01\x01\x00\x00\x00!\xcdX4\x9d1Y@\x81\xb4\xff\x01\xd6\xc62@',3I6e2ZqqoxQhXc9z7Tp5ci,folk
18,Fernest Arceneaux,/wiki/Fernest_Arceneaux,,Lafayette,b'\x01\x01\x00\x00\x00!\xcdX4\x9d1Y@\x81\xb4\xff\x01\xd6\xc62@',b'\x01\x01\x00\x00\x00\xcb\xf5\xb6\x99\n\x02W\xc0Z-\xb0\xc7D6>@',7HBcntk6WvaqjA4kLrqA9m,folk
19,Amédé Ardoin,/wiki/Am%C3%A9d%C3%A9_Ardoin,,"Basile, Evangeline Parish, Louisiana",b'\x01\x01\x00\x00\x00!\xcdX4\x9d1Y@\x81\xb4\xff\x01\xd6\xc62@',b'\x01\x01\x00\x00\x00\xf3Y\x9e\x07w&W\xc0\x9d\xf2\xe8FX|>@',5Qg9EHJc1i9xp7WXArccSz,folk
20,Chris Ardoin,/wiki/Chris_Ardoin,,"Lake Charles, Louisiana",b'\x01\x01\x00\x00\x00!\xcdX4\x9d1Y@\x81\xb4\xff\x01\xd6\xc62@',b'\x01\x01\x00\x00\x00-\x98\xf8\xa3\xa8MW\xc0f\x84\xb7\x07!4>@',3AU7f1EqS89mHHMDHbTQFf,folk
21,Dewey Balfa,/wiki/Dewey_Balfa,,Louisiana,b'\x01\x01\x00\x00\x00!\xcdX4\x9d1Y@\x81\xb4\xff\x01\xd6\xc62@',b'\x01\x01\x00\x00\x00\x10\xaf\xeb\x17\xec W\xc0\xe3\xc6-\xe6\xe7\x8a>@',4HNzfw32MdPySNZHapfWgK,folk
22,BeauSoleil,/wiki/BeauSoleil,"Lafayette, Louisiana, U.S.",,b'\x01\x01\x00\x00\x00\xcb\xf5\xb6\x99\n\x02W\xc0Z-\xb0\xc7D6>@',b'\x01\x01\x00\x00\x00!\xcdX4\x9d1Y@\x81\xb4\xff\x01\xd6\xc62@',2NBfhrFJmF7o35vK2pndvo,folk
23,Bobby Charles,/wiki/Bobby_Charles,,"Abbeville, Louisiana",b'\x01\x01\x00\x00\x00!\xcdX4\x9d1Y@\x81\xb4\xff\x01\xd6\xc62@',b'\x01\x01\x00\x00\x00\xfd\x86\x89\x06)\x08W\xc0\x0bC\xe4\xf4\xf5\xf8=@',1B8vzl6kObOf1cxN4myLS1,folk
24,Boozoo Chavis,/wiki/Boozoo_Chavis,,"Lake Charles, Louisiana",b'\x01\x01\x00\x00\x00!\xcdX4\x9d1Y@\x81\xb4\xff\x01\xd6\xc62@',b'\x01\x01\x00\x00\x00-\x98\xf8\xa3\xa8MW\xc0f\x84\xb7\x07!4>@',0gU00e6HDaZ3hxlR3pZrU0,folk
